"KODE","TEKST","N3"
"M90859","BLANDET GERMINALCELLETUMOR, USIKKERT OM PRIMÆR EL. METASTASE",""
"M90860","NEUROEKTODERMALT MATURT TERATOM",""
"M90863","MALIGNT NEUROEKTODERMALT MATURT TERATOM",""
"M90864","MALIGNT NEUROEKTODERMALT MATURT TERATOM, DIREKTE SPREDNING",""
"M90866","METASTASE, MALIGNT NEUROEKTOTODERMALT MATURT TERATOM",""
"M90867","MALIGNT NEUROEKTODERMALT MATURT TERATOM, RECIDIV",""
"M90869","MAL. NEUROEKTODERMALT MATURT TERATOM, USIK. OM PRIM. EL. MET.",""
"M90870","ENDODERMALT MATURT TERATOM",""
"M90880","SEBACEØST MATURT TERATOM",""
"M90900","STRUMA OVARII",""
"M90903","MALIGN STRUMA OVARII",""
"M90904","MALIGN STRUMA OVARII, DIREKTE SPREDNING",""
"M90906","METASTASE, MALIGN STRUMA OVARII",""
"M90907","MALIGN STRUMA OVARII, RECIDIV",""
"M90909","MALIGN STRUMA OVARII, USIKKERT OM PRIMÆR ELLER METASTASE",""
"M90911","STRUMALT KARCINOID",""
"M90913","MALIGNT STRUMALT KARCINOID",""
"M90914","MALIGNT STRUMALT KARCINOID, DIREKTE SPREDNING",""
"M90916","METASTASE, MALIGNT STRUMALT KARCINOID",""
"M90917","MALIGNT STRUMALT KARCINOID, RECIDIV",""
"M90919","MALIGNT STRUMALT KARCINOID, USIKKERT OM PRIMÆR EL. METASTASE",""
"M91000","MOLA HYDATIDOSA",""
"M91001","INVASIV MOLA (CHORIOADENOMA DESTRUENS)",""
"M91003","KORIOKARCINOM",""
"M91004","KORIOKARCINOM, DIREKTE SPREDNING",""
"M91006","METASTASE, KORIOKARCINOM",""
"M91007","KORIOKARCINOM, RECIDIV",""
"M91009","KORIOKARCINOM, USIKKERT OM PRIMÆRT ELLER METASTASE",""
"M91013","KORIOKARCINOM BLANDET MED EMBRYONALT KARCINOM ELLER TERATOM",""
"M91014","KORIOKARC. BL. M. EMBR. KARC. EL. TERATOM, DIREKTE SPREDNING",""
"M91016","METASTASE, KORIOKARCINOM BL.M.EMBRYONALT KARCINOM EL.TERATOM",""
"M91017","KORIOKARC. BL. M. EMBRYONALT KARCINOM EL. TERATOM, RECIDIV",""
"M91019","KORIOKARC.BL.M.EMBRYO.KARCINOMEL.TERATOM,USIK.OM PRIM.EL.MET.",""
"M91030","PARTIEL MOLA HYDATIDOSA",""
"M91041","PLACENTAL SITE TROPHOBLASTIC TUMOR",""
"M91100","VELDIFFERENTIERET MESONEFROM",""
"M91103","MALIGNT MESONEFROM",""
"M91104","MALIGNT MESONEFROM, DIREKTE SPREDNING",""
"M91106","METASTASE, MALIGNT MESONEFROM",""
"M91107","MALIGNT MESONEFROM, RECIDIV",""
"M91109","MALIGNT MESONEFROM, USIKKERT OM PRIMÆRT ELLER METASTASE",""
"M91200","HÆMANGIOM",""
"M91203","HÆMANGIOSARKOM",""
"M91204","HÆMANGIOSARKOM, DIREKTE SPREDNING",""
"M91206","METASTASE, HÆMANGIOSARKOM",""
"M91207","HÆMANGIOSARKOM, RECIDIV",""
"M91209","HÆMANGIOSARKOM, USIKKERT OM PRIMÆRT ELLER METASTASE",""
"M91210","KAVERNØST HÆMANGIOM",""
"M91220","VENØST HÆMANGIOM",""
"M91230","ARTERIOVENØST HÆMANGIOM",""
"M91250","EPITELOIDT HÆMANGIOM",""
"M91300","BENIGNT HÆMANGIOENDOTELIOM",""
"M91301","HÆMANGIOENDOTELIOM",""
"M91303","HÆMANGIOENDOTELIOSARKOM",""
"M91304","HÆMANGIOENDOTELIOSARKOM, DIREKTE SPREDNING",""
"M91306","METASTASE, HÆMANGIOENDOTELIOSARKOM",""
"M91307","HÆMANGIOENDOTELIOSARKOM, RECIDIV",""
"M91309","HÆMANGIOENDOTELIOSARKOM, USIKKERT OM PRIMÆRT ELLER METASTASE",""
"M91310","KAPILLÆRT HÆMANGIOM",""
"M91320","INTRAMUSKULÆRT HÆMANGIOM",""
"M91331","EPITELOIDT HÆMANGIOENDOTELIOM",""
"M91403","KAPOSIS SARKOM",""
"M91404","KAPOSIS SARKOM, DIREKTE SPREDNING",""
"M91406","METASTASE, KAPOSIS SARKOM",""
"M91407","KAPOSIS SARKOM, RECIDIV",""
"M91409","KAPOSIS SARKOM, USIKKERT OM PRIMÆRT ELLER METASTASE",""
"M91410","ANGIOKERATOM",""
"M91501","HÆMANGIOPERICYTOM",""
"M91503","MALIGNT HÆMANGIOPERICYTOM",""
"M91504","MALIGNT HÆMANGIOPERICYTOM, DIREKTE SPREDNING",""
"M91506","METASTASE, MALIGNT HÆMANGIOPERICYTOM",""
"M91507","MALIGNT HÆMANGIOPERICYTOM, RECIDIV",""
"M91509","MALIGNT HÆMANGIOPERICYTOM, USIKKERT OM PRIMÆRT EL. METASTASE",""
"M91600","ANGIOFIBROM",""
"M91611","HÆMANGIOBLASTOM (ANGIORETIKULOM)",""
"M91700","LYMFANGIOM",""
"M91703","LYMFANGIOSARKOM",""
"M91704","LYMFANGIOSARKOM, DIREKTE SPREDNING",""
"M91706","METASTASE, LYMFANGIOSARKOM",""
"M91707","LYMFANGIOSARKOM, RECIDIV",""
"M91709","LYMFANGIOSARKOM, USIKKERT OM PRIMÆRT ELLER METASTASE",""
"M91720","KAVERNØST LYMFANGIOM",""
"M91730","CYSTISK LYMFANGIOM",""
"M91740","LYMFANGIOMYOM",""
"M91741","LYMFANGIOMYOMATOSE",""
"M91800","OSTEOM",""
"M91803","OSTEOSARKOM",""
"M91804","OSTEOSARKOM, DIREKTE SPREDNING",""
"M91806","METASTASE, OSTEOSARKOM",""
"M91807","OSTEOSARKOM, RECIDIV",""
"M91809","OSTEOSARKOM, USIKKERT OM PRIMÆRT ELLER METASTASE",""
"M91813","KONDROBLASTISK OSTEOSARKOM",""
"M91814","KONDROBLASTISK OSTEOSARKOM, DIREKTE SPREDNING",""
"M91816","METASTASE, KONDROBLASTISK OSTEOSARKOM",""
"M91817","KONDROBLASTISK OSTEOSARKOM, RECIDIV",""
"M91819","KONDROBLASTISK OSTEOSARKOM, USIKKERT OM PRIMÆRT EL. MET.",""
"M91823","FIBROBLASTISK OSTEOSARKOM",""
"M91824","FIBROBLASTISK OSTEOSARKOM, DIREKTE SPREDNING",""
"M91826","METASTASE, FIBROBLASTISK OSTEOSARKOM",""
"M91827","FIBROBLASTISK OSTEOSARKOM, RECIDIV",""
"M91829","FIBROBLASTISK OSTEOSARKOM, USIKKERT OM PRIMÆRT EL. METASTASE",""
"M91833","TELEANGIEKTATISK OSTEOSARKOM",""
"M91834","TELEANGIEKTATISK OSTEOSARKOM, DIREKTE SPREDNING",""
"M91836","METASTASE, TELEANGIEKTATISK OSTEOSARKOM",""
"M91837","TELEANGIEKTATISK OSTEOSARKOM, RECIDIV",""
"M91839","TELEANGIEKTATISK OSTEOSARKOM, USIKKERT OM PRIMÆRT EL. MET.",""
"M91843","OSTEOSARKOM I PAGET'S DISEASE OF BONE",""
"M91844","OSTEOSARKOM I PAGET'S DISEASE OF BONE, DIREKTE SPREDNING",""
"M91846","METASTASE, OSTEOSARKOM I PAGET'S DISEASE OF BONE",""
"M91847","OSTEOSARKOM I PAGET'S DISEASE OF BONE, RECIDIV",""
"M91849","OSTEOSARKOM I PAGET'S DISEASE OF BONE, USIK. OM PRIM.EL.MET.",""
"M91853","SMALL CELL OSTEOSARKOM",""
"M91854","SMALL CELL OSTEOSARKOM, DIREKTE SPREDNING",""
"M91856","METASTASE, SMALL CELL OSTEOSARKOM",""
"M91857","SMALL CELL OSTEOSARKOM, RECIDIV",""
"M91859","SMALL CELL OSTEOSARKOM, USIKKERT OM PRIMÆRT ELLER METASTASE",""
"M91903","PAROSTALT OSTEOSARKOM",""
"M91904","PAROSTALT OSTEOSARKOM, DIREKTE SPREDNING",""
"M91906","METASTASE, PAROSTALT OSTEOSARKOM",""
"M91907","PAROSTALT OSTEOSARKOM, RECIDIV",""
"M91909","PAROSTALT OSTEOSARKOM, USIKKERT OM PRIMÆRT ELLER METASTASE",""
"M91910","OSTEOIDT OSTEOM",""
"M92000","OSTEOBLASTOM",""
"M92001","AGGRESSIVT OSTEOBLASTOM",""
"M92100","OSTEOKONDROM (KARTILAGINØS EKSOSTOSE)",""
"M92101","OSTEOKONDROMATOSE",""
"M92200","KONDROM",""
"M92201","MULTIPLE KONDROMER",""
"M92203","KONDROSARKOM",""
"M92204","KONDROSARKOM, DIREKTE SPREDNING",""
"M92206","METASTASE, KONDROSARKOM",""
"M92207","KONDROSARKOM, RECIDIV",""
"M92209","KONDROSARKOM, USIKKERT OM PRIMÆRT ELLER METASTASE",""
"M92210","JUXTAKORTIKALT KONDROM",""
"M92213","JUXTAKORTIKALT KONDROSARKOM",""
"M92214","JUXTAKORTIKALT KONDROSARKOM, DIREKTE SPREDNING",""
"M92216","METASTASE, JUXTAKORTIKALT KONDROSARKOM",""
"M92217","JUXTAKORTIKALT KONDROSARKOM, RECIDIV",""
"M92219","JUXTAKORTIKALT KONDROSARKOM, USIKKERT OM PRIMÆRT EL. MET.",""
"M92223","DEDIFFERENTIERET KONDROSARKOM",""
"M92224","DEDIFFERENTIERET KONDROSARKOM, DIREKTE SPREDNING",""
"M92226","METASTASE, DEDIFFERENTIERET KONDROSARKOM",""
"M92227","DEDIFFERENTIERET KONDROSARKOM, RECIDIV",""
"M92246","UDGÅET PR. 24.01.97, SE M92226",""
"M92246","METASTASE, DEDIFFERENTIERET KONDROSARKOM",""
"M92247","UDGÅET PR. 24.01.97, SE M92227",""
"M92247","DEDIFFERENTIERET KONDROSARKOM, RECIDIV",""
"M92300","KONDROBLASTOM",""
"M92303","MALIGNT KONDROBLASTOM",""
"M92304","MALIGNT KONDROBLASTOM, DIREKTE SPREDNING",""
"M92306","METASTASE, MALIGNT KONDROBLASTOM",""
"M92307","MALIGNT KONDROBLASTOM, RECIDIV",""
"M92309","MALIGNT KONDROBLASTOM, USIKKERT OM PRIMÆRT ELLER METASTASE",""
"M92313","MYKSOIDT KONDROSARKOM",""
"M92314","MYKSOIDT KONDROSARKOM, DIREKTE SPREDNING",""
"M92316","METASTASE, MYKSOIDT KONDROSARKOM",""
"M92317","MYKSOIDT KONDROSARKOM, RECIDIV",""
"M92319","MYKSOIDT KONDROSARKOM, USIKKERT OM PRIMÆRT ELLER METASTASE",""
"M92403","MESENKYMALT KONDROSARKOM",""
"M92404","MESENKYMALT KONDROSARKOM, DIREKTE SPREDNING",""
"M92406","METASTASE, MESENKYMALT KONDROSARKOM",""
"M92407","MESENKYLAMT KONDROSARKOM, RECIDIV",""
"M92409","MESENKYMALT KONDROSARKOM, USIKKERT OM PRIMÆRT EL. METASTASE",""
"M92410","KONDROMYKSOIDT FIBROM",""
"M92501","KÆMPECELLETUMOR (OSTEOKLASTOM)",""
"M92503","MALIGN KÆMPECELLETUMOR",""
"M92504","MALIGN KÆMPECELLETUMOR, DIREKTE SPREDNING",""
"M92506","METASTASE, MALIGN KÆMPECELLETUMOR",""
"M92507","MALIGN KÆMPECELLETUMOR, RECIDIV",""
"M92509","MALIGN KÆMPECELLETUMOR, USIKKERT OM PRIMÆR ELLER METASTASE",""
"M92511","KÆMPECELLETUMOR, EKSTRAOSSØS",""
"M92511","EKSTRAOSSØS KÆMPECELLETUMOR",""
"M92513","MALIGN KÆMPECELLETUMOR, EKSTRAOSSØS",""
"M92514","MALIGN KÆMPECELLETUMOR, EKSTRAOSSØS, DIREKTE SPREDNING",""
"M92516","METASTASE, MALIGN KÆMPECELLETUMOR, EKSTRAOSSØS",""
"M92517","MALIGN KÆMPECELLETUMOR, EKSTRAOSSØS, RECIDIV",""
"M92519","MALIGN KÆMPECELLETUMOR, EKSTRAOSSØS, USIKKERT OM PRIM.EL.MET.",""
"M92603","EWINGS SARKOM",""
"M92604","EWINGS SARKOM, DIREKTE SPREDNING",""
"M92606","METASTASE, EWINGS SARKOM",""
"M92607","EWINGS SARKOM, RECIDIV",""
"M92609","EWINGS SARKOM, USIKKERT OM PRIMÆRT ELLER METASTASE",""
"M92613","ADAMANTINOM I LANG RØRKNOGLE",""
"M92614","ADAMANTINOM I LANG RØRKNOGLE, DIREKTE SPREDNING",""
"M92616","METASTASE, ADAMANTINOM I LANG RØRKNOGLE",""
"M92617","ADAMANTINOM I LANG RØRKNOGLE, RECIDIV",""
"M92619","ADAMANTINOM I LANG RØRKNOGLE, USIKKERT OM PRIMÆRT EL. MET.",""
"M92620","OSSIFICERENDE FIBROM",""
"M92700","ODONTOGEN TUMOR",""
"M92703","PRIMÆRT INTRAOSSØST KARCINOM",""
"M92704","PRIMÆRT INTRAOSSØST KARCINOM, DIREKTE SPREDNING",""
"M92705","PRIMÆRT INTRAOSSØST KARCINOM, MIKROINVASION",""
"M92706","METASTASE, PRIMÆRT INTRAOSSØST KARCINOM",""
"M92707","PRIMÆRT INTRAOSSØST KARCINOM, RECIDIV",""
"M92708","PRIMÆRT INTRAOSSØST KARCINOM I REMISSION",""
"M92709","PRIMÆRT INTRAOSSØST KARCINOM, USIKKERT OM PRIM. ELLER METASTA",""
"M92710","DENTINOM",""
"M92720","PERIAPIKAL CEMENTAL DYSPLASI",""
"M92720","CEMENTOM",""
"M92730","CEMENTOBLASTOM",""
"M92740","CEMENTIFICERENDE FIBROM",""
"M92750","FLORID CEMENTOOSSØS DYSPLASI",""
"M92760","UDGÅET PR. 01.01.96",""
"M92760","GIGANTIFORMT CEMENTOM",""
"M92800","ODONTOM",""
"M92810","SAMMENSAT ODONTOM",""
"M92820","KOMPLEKST ODONTOM",""
"M92900","AMELOBLASTISK FIBROODONTOM",""
"M92903","AMELOBLASTISK FIBROODONTOSARKOM",""
"M92904","AMELOBLASTISK FIBROODONTOSARKOM, DIREKTE SPREDNING",""
"M92905","UDGÅET PR. 01.03.96",""
"M92905","AMELOBLASTISK FIBROODONTOSARKOM, MIKROINVASION",""
"M92906","METASTASE, AMELOBLASTISK FIBROODONTOSARKOM",""
"M92907","AMELOBLASTISK FIBROODONTOSARKOM, RECIDIV",""
"M92908","AMELOBLASTISK FIBROODONTOSARKOM I REMISSION",""
"M92909","AMELOBLASTISK FIBROODONTOSARKOM, USIKKERT OM PRIM. ELL. META",""
"M93000","ADENOMATOID ODONTOGEN TUMOR",""
"M93010","KALCIFICERENDE ODONTOGEN CYSTE",""
"M93100","AMELOBLASTOM",""
"M93103","MALIGNT AMELOBLASTOM",""
"M93104","MALIGNT AMELOBLASTOM, DIREKTE SPREDNING",""
"M93106","METASTASE, MALIGNT AMELOBLASTOM",""
"M93107","MALIGNT AMELOBLASTOM, RECIDIV",""
"M93109","MALIGNT AMELOBLASTOM, USIKKERT OM PRIMÆRT ELLER METASTASE",""
"M93110","ODONTOAMELOBLASTOM",""
"M93120","PLANOCELLULÆR ODONTOGEN TUMOR",""
"M93200","ODONTOGENT MYKSOM",""
"M93210","ODONTOGENT FIBROM",""
"M93300","AMELOBLASTISK FIBROM",""
"M93303","AMELOBLASTISK FIBROSARKOM",""
"M93304","AMELOBLASTISK FIBROSARKOM, DIREKTE SPREDNING",""
"M93306","METASTASE, AMELOBLASTISK FIBROSARKOM",""
"M93307","AMELOBLASTISK FIBROSARKOM, RECIDIV",""
"M93309","AMELOBLASTISK FIBROSARKOM, USIKKERT OM PRIMÆRT EL. METASTASE",""
"M93400","KALCIFICERENDE EPITELIAL ODONTOGEN TUMOR",""
"M93501","KRANIOFARYNGEOM",""
"M93600","UDGÅET PR. 01. JANUAR 1987",""
"M93600","TRANSLOKATION",""
"M93601","PINEALOM",""
"M93603","BLANDET PINEOCYTOM-PINEOBLASTOM",""
"M93604","BLANDET PINEOCYTOM-PINEOBLASTOM, DIREKTE SPREDNING",""
"M93606","METASTASE, BLANDET PINEOCYTOM-PINEOBLASTOM",""
"M93607","BLANDET PINEOCYTOM-PINEOBLASTOM, RECIDIV",""
"M93609","BLANDET PINEOCYTOM-PINEOBLASTOM,USIKKERT OM PRIMÆRT EL. MET.",""
"M93611","PINEOCYTOM",""
"M93623","PINEOBLASTOM",""
"M93630","MELANOTISK NEUROEKTODERMAL TUMOR",""
"M93643","PERIFER NEUROEKTODERMAL TUMOR",""
"M93644","PERIFER NEUROEKTODERMAL TUMOR, DIREKTE SPREDNING",""
"M93646","METASTASE, PERIFER NEUROEKTODERMAL TUMOR",""
"M93647","PERIFER NEUROEKTODERMAL TUMOR, RECIDIV",""
"M93649","PERIFER NEUROEKTODERMAL TUMOR, USIKKERT OM PRIM.EL.MET.",""
"M93703","KORDOM",""
"M93704","KORDOM, DIREKTE SPREDNING",""
"M93706","METASTASE, KORDOM",""
"M93707","KORDOM, RECIDIV",""
"M93709","KORDOM, USIKKERT OM PRIMÆRT ELLER METASTASE",""
"M93803","GLIOM",""
"M93804","GLIOM, DIREKTE SPREDNING",""
"M93806","METASTASE, GLIOM",""
"M93806","METASTASE, GLIOM",""
"M93807","GLIOM, RECIDIV",""
"M93809","GLIOM, USIKKERT OM PRIMÆRT ELLER METASTASE",""
"M93813","GLIOMATOSIS CEREBRI",""
"M93823","OLIGO-ASTROCYTOM",""
"M93824","OLIGO-ASTROCYTOM, DIREKTE SPREDNING",""
"M93826","METASTASE, OLIGO-ASTROCYTOM",""
"M93827","OLIGO-ASTROCYTOM, RECIDIV",""
"M93829","OLIGO-ASTROCYTOM, USIKKERT OM PRIMÆRT ELLER METASTASE",""
"M93831","SUBEPENDYMOM",""
"M93841","SUBEPENDYMALT KÆMPECELLEASTROCYTOM",""
"M93853","ANAPLASTISK OLIGO-ASTROCYTOM",""
"M93854","ANAPLASTISK OLIGO-ASTROCYTOM, DIREKTE SPREDNING",""
"M93856","METASTASE, ANAPLASTISK OLIGO-ASTROCYTOM",""
"M93857","ANAPLASTISK OLIGO-ASTROCYTOM, RECIDIV",""
"M93859","ANAPLASTISK OLIGO-ASTROCYTOM, USIKKERT OM PRIMÆRT EL. MET.",""
"M93900","PLEXUSPAPILLOM",""
"M93903","ANAPLASTISK PLEXUSPAPILLOM",""
"M93903","MALIGNT PLEXUSPAPILLOM",""
"M93904","ANAPLASTISK PLEXUSPAPILLOM, DIREKTE SPREDNING",""
"M93906","METASTASE, ANAPLASTISK PLEXUSPAPILLOM",""
"M93907","ANAPLASTISK PLEXUSPAPILLOM, RECIDIV",""
"M93909","ANAPLASTISK PLEXUSPAPILLOM, USIKKERT OM PRIMÆRT EL. MET.",""
"M93911","UDGÅET PR. 31. DECEMBER 1984",""
"M93911","EPENDYMOM",""
"M93913","EPENDYMOM",""
"M93913","MALIGNT EPENDYMOM",""
"M93914","EPENDYMOM, DIREKTE SPREDNING",""
"M93916","METASTASE, EPENDYMOM",""
"M93916","METASTASE, MALIGNT EPENDYMOM",""
"M93917","EPENDYMOM, RECIDIV",""
"M93919","EPENDYMOM, USIKKERT OM PRIMÆRT ELLER METASTASE",""
"M93923","ANAPLASTISK EPENDYMOM",""
"M93924","ANAPLASTISK EPENDYMOM, DIREKTE SPREDNING",""
"M93926","METASTASE, ANAPLASTISK EPENDYMOM",""
"M93927","ANAPLASTISK EPENDYMOM, RECIDIV",""
"M93929","ANAPLASTISK EPENDYMOM, USIKKERT OM PRIMÆRT ELLER METASTASE",""
"M93931","PAPILLÆRT EPENDYMOM",""
"M93941","MYKSOPAPILLÆRT EPENDYMOM",""
"M94003","ASTROCYTOM",""
"M94004","ASTROCYTOM, DIREKTE SPREDNING",""
"M94006","METASTASE, ASTROCYTOM",""
"M94007","ASTROCYTOM, RECIDIV",""
"M94009","ASTROCYTOM, USIKKERT OM PRIMÆRT ELLER METASTASE",""
"M94013","ANAPLASTISK ASTROCYTOM",""
"M94014","ANAPLASTISK ASTROCYTOM, DIREKTE SPREDNING",""
"M94016","METASTASE, ANAPLASTISK ASTROCYTOM",""
"M94017","ANAPLASTISK ASTROCYTOM, RECIDIV",""
"M94019","ANAPLASTISK ASTROCYTOM, USIKKERT OM PRIMÆRT ELLER METASTASE",""
"M94103","PROTOPLASMATISK ASTROCYTOM",""
"M94104","PROTOPLASMATISK ASTROCYTOM, DIREKTE SPREDNING",""
"M94106","METASTASE, PROTOPLASMATISK ASTROCYTOM",""
"M94107","PROTOPLASMATISK ASTROCYTOM, RECIDIV",""
"M94109","PROTOPLASMATISK ASTROCYTOM, USIKKERT OM PRIMÆRT EL. MET.",""
"M94113","GEMISTOCYTISK ASTROCYTOM",""
"M94114","GEMISTOCYTISK ASTROCYTOM, DIREKTE SPREDNING",""
"M94116","METASTASE, GEMISTOCYTISK ASTROCYTOM",""
"M94117","GEMISTOCYTISK ASTROCYTOM, RECIDIV",""
"M94119","GEMISTOCYTISK ASTROCYTOM, USIKKERT OM PRIMÆR EL. METASTASE",""
"M94203","FIBRILLÆRT ASTROCYTOM",""
"M94204","FIBRILLÆRT ASTROCYTOM, DIREKTE SPREDNING",""
"M94206","METASTASE, FIBRILLÆRT ASTROCYTOM",""
"M94207","FIBRILLÆRT ASTROCYTOM, RECIDIV",""
"M94209","FIBRILLÆRT ASTROCYTOM, USIKKERT OM PRIMÆRT ELLER METASTASE",""
"M94213","PILOCYTISK ASTROCYTOM",""
"M94214","PILOCYTISK ASTROCYTOM, DIREKTE SPREDNING",""
"M94216","METASTASE, PILOCYTISK ASTROCYTOM",""
"M94217","PILOCYTISK ASTROCYTOM, RECIDIV",""
"M94219","PILOCYTISK ASTROCYTOM, USIKKERT OM PRIMÆRT ELLER METASTASE",""
"M94243","PLEOMORFT XANTOASTROCYTOM",""
"M94249","PLEOMORFT XANTOASTROCYTOM, USIKKERT OM PRIMÆRT EL. METASTASE",""
"M94303","ASTROBLASTOM",""
"M94304","ASTROBLASTOM, DIREKTE SPREDNING",""
"M94306","METASTASE, ASTROBLASTOM",""
"M94307","ASTROBLASTOM, RECIDIV",""
"M94309","ASTROBLASTOM, USIKKERT OM PRIMÆRT ELLER METASTASE",""
"M94403","GLIOBLASTOM",""
"M94404","GLIOBLASTOM, DIREKTE SPREDNING",""
"M94406","METASTASE, GLIOBLASTOM",""
"M94407","GLIOBLASTOM, RECIDIV",""
"M94409","GLIOBLASTOM, USIKKERT OM PRIMÆRT ELLER METASTASE",""
"M94423","GLIOBLASTOM MED SARKOMATØS KOMPONENT",""
"M94424","GLIOBLASTOM MED SARKOMATØS KOMPONENT, DIREKTE SPREDNING",""
"M94426","METASTASE, GLIOBLASTOM MED SARKOMATØS KOMPONENT",""
"M94427","GLIOBLASTOM MED SARKOMATØS KOMPONENT, RECIDIV",""
"M94429","GLIOBLASTOM M. SARKOMATØS KOMPONENT,USIKKERT OM PRIM.EL.MET.",""
"M94433","POLART SPONGIOBLASTOM",""
"M94434","POLART SPONGIOBLASTOM, DIREKTE SPREDNING",""
"M94436","METASTASE, POLART SPONGIOBLASTOM",""
"M94437","POLART SPONGIOBLASTOM, RECIDIV",""
"M94439","POLART SPONGIOBLASTOM, USIKKERT OM PRIMÆRT EL. METASTASE",""
"M94503","OLIGODENDROGLIOM",""
"M94504","OLIGODENDROGLIOM, DIREKTE SPREDNING",""
"M94506","METASTASE, OLIGODENDROGLIOM",""
"M94507","OLIGODENDROGLIOM, RECIDIV",""
"M94509","OLIGODENDROGLIOM, USIKKERT OM PRIMÆRT ELLER METASTASE",""
"M94513","ANAPLASTISK OLIGODENDROGLIOM",""
"M94514","ANAPLASTISK OLIGODENDROGLIOM, DIREKTE SPREDNING",""
"M94516","METASTASE, ANAPLASTISK OLIGODENDROGLIOM",""
"M94517","ANAPLASTISK OLIGODENDROGLIOM, RECIDIV",""
"M94519","ANAPLASTISK OLIGODENDROGLIOM, USIKKERT OM",""
"M94603","UDGÅET PR. 31. DECEMBER 1984",""
"M94603","OLIGODENDROBLASTOM",""
"M94606","UDGÅET PR. 31.12.91",""
"M94606","METASTASE, ANAPLASTISK OLIGODENDROGLIOM",""
"M94703","MEDULLOBLASTOM",""
"M94704","MEDULLOBLASTOM, DIREKTE SPREDNING",""
"M94706","METASTASE, MEDULLOBLASTOM",""
"M94707","MEDULLOBLASTOM, RECIDIV",""
"M94709","MEDULLOBLASTOM, USIKKERT OM PRIMÆRT ELLER METASTASE",""
"M94713","DESMOPLASTISK MEDULLOBLASTOM",""
"M94714","DESMOPLASTISK MEDULLOBLASTOM, DIREKTE SPREDNING",""
"M94716","METASTASE, DESMOPLASTISK MEDULLOBLASTOM",""
"M94717","DESMOPLASTISK MEDULLOBLASTOM, RECIDIV",""
"M94719","DESMOPLASTISK MEDULLOBLASTOM, USIKKERT OM PRIMÆRT EL. MET.",""
"M94723","MEDULLOMYOBLASTOM",""
"M94724","MEDULLOMYOBLASTOM, DIREKTE SPREDNING",""
"M94726","METASTASE, MEDULLOMYOBLASTOM",""
"M94727","MEDULLOMYOBLASTOM, RECIDIV",""
"M94729","MEDULLOMYOBLASTOM, USIKKERT OM PRIMÆRT ELLER METASTASE",""
"M94733","PRIMITIV NEUROEKTODERMAL TUMOR",""
"M94734","PRIMITIV NEUROEKTODERMAL TUMOR, DIREKTE SPREDNING",""
"M94736","METASTASE, PRIMITIV NEUROEKTODERMAL TUMOR",""
"M94737","PRIMITIV NEUROEKTODERMAL TUMOR, RECIDIV",""
"M94739","PRIMITIV NEUROEKTODERMAL TUMOR, USIKKERT OM PRIM. EL. MET.",""
"M94900","GANGLIOCYTOM",""
"M94900","GANGLIOCYTOM",""
"M94903","GANGLIONEUROBLASTOM",""
"M94904","GANGLIONEUROBLASTOM, DIREKTE SPREDNING",""
"M94906","METASTASE, GANGLIONEUROBLASTOM",""
"M94907","GANGLIONEUROBLASTOM, RECIDIV",""
"M94909","GANGLIONEUROBLASTOM, USIKKERT OM PRIMÆRT ELLER METASTASE",""
"M94920","DYSPLASTISK GANGLIOCYTOM",""
"M95003","NEUROBLASTOM",""
"M95004","NEUROBLASTOM, DIREKTE SPREDNING",""
"M95006","METASTASE, NEUROBLASTOM",""
"M95007","NEUROBLASTOM, RECIDIV",""
"M95009","NEUROBLASTOM, USIKKERT OM PRIMÆRT ELLER METASTASE",""
"M95010","BENIGNT MEDULLOEPITELIOM",""
"M95011","UDGÅET 01.01.97",""
"M95011","MEDULLOEPITELIOM",""
"M95013","MEDULLOEPITELIOM",""
"M95014","MEDULLOEPITELIOM, DIREKTE SPREDNING",""
"M95016","METASTASE, MEDULLOEPITELIOM",""
"M95017","MEDULLOEPITELIOM, RECIDIV",""
"M95019","MEDULLOEPITELIOM, USIKKERT OM PRIMÆRT ELLER METASTASE",""
"M95020","BENIGNT TERATOIDT MEDULLOEPITELIOM",""
"M95021","TERATOIDT MEDULLOEPITELIOM",""
"M95023","MALIGNT TERATOIDT MEDULLOEPITELIOM",""
"M95024","MALIGNT TERATOIDT MEDULLOEPITELIOM, DIREKTE SPREDNING",""
"M95026","METASTASE, MALIGNT TERATOIDT MEDULLOEPITELIOM",""
"M95027","MALIGNT TERATOIDT MEDULLOEPITELIOM, RECIDIV",""
"M95029","MALIGNT TERATOIDT MEDULLOEPITELIOM, USIKKERT OM PRIM.EL.MET.",""
"M95050","DESMOPLASTISK INFANTILT GANGLIOGLIOM",""
"M95051","GANGLIOGLIOM",""
"M95053","ANAPLASTISK GANGLIOGLIOM",""
"M95054","ANAPLASTISK GANGLIOGLIOM, DIREKTE SPREDNING",""
"M95056","METASTASE, ANAPLASTISK GANGLIOGLIOM",""
"M95057","ANAPLASTISK GANGLIOGLIOM, RECIDIV",""
"M95059","ANAPLASTISK GANGLIOGLIOM, USIKKERT OM PRIMÆRT EL. MET.",""
"M95060","NEUROCYTOM",""
"M95080","DYSEMBRYOPLASTISK NEUROEPITELIAL TUMOR",""
"M95103","RETINOBLASTOM",""
"M95104","RETINOBLASTOM, DIREKTE SPREDNING",""
"M95106","METASTASE, RETINOBLASTOM",""
